COD_PROV,DES_PROV,COD_MUNI,DES_MUNI,COD_DM,DES_DM,COD_SECC,DES_SECC,COD_BP,DES_BP,ICV_1,ICV_2,ICV_3,ICV_4,NO_CAT,P_ICV1Y2
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,006,LA PALMITA,3,5,0,0,2,80
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,010,LOS TABLONES,13,0,0,0,0,100
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,011,BOCA DE LOS RÍOS,0,0,1,0,13,0
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,001,CIÉNAGA,24,48,28,3,10,63.72
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,002,MATA DE LIMÓN,10,37,20,5,16,53.41
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,008,ARROYO FRÍO,2,10,5,1,2,60
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,012,ARROYO DE LOS MUERTOS,8,9,3,1,8,58.62
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,009,EL ARRAIGAN,7,21,7,1,0,77.78
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,004,LA PEÑITA,10,21,9,0,5,68.89
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,003,PASO DE LA PERRA,7,7,2,0,4,70
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,03,LA CIÉNAGA,005,JOYA DE RAMÓN,12,6,2,1,6,66.67
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,002,LA GUAMA DE JUNUMUCÚ,14,19,7,1,6,70.21
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,02,LA CEIBITA,001,LA CEIBITA,20,39,36,8,23,46.83
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,02,LA CEIBITA,002,LA JAGÜITA,3,2,0,0,3,62.5
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,02,LA CEIBITA,003,EL TAMARINDO,20,70,57,19,45,42.65
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,03,RINCÓN,003,VILLA CANAL,0,1,2,0,0,33.33
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,03,RINCÓN,001,CALABACITO,4,3,8,1,2,38.89
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,007,EL ALGARROBO O ACAPULCO,23,90,72,11,20,52.31
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,009,CONTROBA O BORINQUEN,7,19,4,0,12,61.9
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,001,EL CALICHE,4,39,45,20,26,32.09
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,006,HAITÍ,43,80,64,14,17,56.42
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,004,PUERTO ARTURO,28,101,37,8,40,60.28
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,008,EL CERCADO,25,117,94,41,81,39.66
13,LA VEGA,04,JIMA ABAJO,02,RINCÓN (D. M.).,04,JUNUMUCÚ,003,JUNUMUCÚ,57,184,174,54,102,42.21
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,006,PAJARITO,5,29,12,2,16,53.12
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,007,GUAREY,2,2,0,0,3,57.14
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,005,LA ANGOSTURA,2,8,1,0,1,83.33
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,002,ARROYO DEL RANCHO,4,12,10,0,6,50
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,004,"LA REDONDA (TIERRA COLORADA, EL ABANICO)",18,28,10,2,22,57.5
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,007,MATA DE CAFÉ,37,34,6,1,9,81.61
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,015,PIEDRA LLANA,9,6,1,1,2,78.95
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,013,LA MAJAGÜITA,5,1,1,0,8,40
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,014,LOS MARRANITOS,5,10,5,1,4,60
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,010,LOS DAJAOS,6,30,18,2,7,57.14
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,007,EL MANGUITO O ZUMBADOR,3,9,1,0,0,92.31
13,LA VEGA,01,LA VEGA,01,LA VEGA,04,BAYACANES,001,MONTE GRANDE,0,2,2,0,0,50
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,006,SABANA DE PONTÓN,8,43,9,4,0,79.69
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,012,EL PINO,125,512,578,109,218,41.31
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,011,EL ALGARROBO,4,6,2,1,0,76.92
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,007,RAMADA,14,65,47,7,25,50
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,002,HOYA  CAUTIVA,0,0,1,0,0,0
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,005,EL SIETE,1,5,4,2,1,46.15
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,004, AGUAS ALTAS,0,0,0,0,1,0
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,006,GUAIGUÍ,16,54,32,5,6,61.95
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,004,LOS GUANÁBANOS,33,94,42,1,17,67.91
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,003,ARROYO ANCHO,3,6,4,0,4,52.94
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,002,EL FARO,11,16,3,0,3,81.82
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,001,PONTÓN,12,72,55,12,36,44.92
13,LA VEGA,01,LA VEGA,01,LA VEGA,15,PONTÓN,003,TERRERO,1,7,0,0,0,100
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,004,EL DULCE O ARROYO DULCE,10,16,0,0,10,72.22
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,005,EL BOLO O LA PELÚA,0,1,0,0,0,100
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,009,LA PALOMA,5,7,1,0,9,54.55
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,003,LA CORTINA,4,8,5,1,0,66.67
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,002,LOS CALABAZOS,3,7,8,1,18,27.03
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,04,MANABAO,001,PINO DEL RAYO,9,23,12,3,2,65.31
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,001,RANCHO DEL RÍO,1,0,0,0,2,33.33
13,LA VEGA,03,JARABACOA,03,MANABAO (D. M.).,02,LOS DAJAOS,011,CAÑADA AMARGA,1,0,0,0,0,100
13,LA VEGA,01,LA VEGA,01,LA VEGA,09,GUAREY,001,GUAREY ARRIBA,0,0,0,0,2,0
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,002,EL PINITO DE LOS JIMÉNEZ,18,75,86,9,0,49.47
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,001,SABANETA O EL PUENTE,175,407,465,129,141,44.19
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,003,MATANZAS,24,127,163,34,54,37.56
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,005,PALMAREJO,0,0,0,0,1,0
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,004,RANCHO VIEJO,56,257,254,82,69,43.59
13,LA VEGA,01,LA VEGA,01,LA VEGA,16,SABANETA,006,MAGUEY,46,114,70,8,39,57.76
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,008,LA CABRA,12,11,1,0,7,74.19
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,007,LA SABANA DEL SUR,19,0,0,0,3,86.36
13,LA VEGA,01,LA VEGA,01,LA VEGA,04,BAYACANES,005,JOA,44,47,7,1,15,79.82
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,03,PALERO,005,COLONIA KENNEDY,56,166,225,112,72,35.18
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,014,FUNDO VIEJO,0,0,0,0,6,0
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,015,LA CIÉNAGA,6,0,0,1,1,75
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,017,LOS CAÑOS,7,0,0,0,1,87.5
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,019,LOS LIMONCITOS,24,2,1,0,7,76.47
